seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_HTT250er_QuadJet_70_55_40_35_er2p5,18.454,0,0.000,0.000,0.000,0.000,0.000,3.785
L1_HTT280er_QuadJet_70_55_40_35_er2p5,12.865,0,0.000,0.000,0.000,0.000,0.000,3.660
L1_HTT300er_QuadJet_70_55_40_35_er2p5,10.451,1,10.451,0.544,0.717,0.143,3.106,3.614
L1_DoubleJet100er2p3_dEta_Max1p6,6.257,0,0.000,0.000,0.000,0.000,0.000,1.588
L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,3.636,0,0.000,0.000,0.000,0.000,0.000,1.973
L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1.680,1,1.680,0.218,0.662,0.137,0.973,1.796
L1_IsoTau40er_ETM80,7.278,0,0.000,0.000,0.000,0.000,0.000,2.139
L1_IsoTau40er_ETM85,5.907,0,0.000,0.000,0.000,0.000,0.000,2.126
L1_IsoTau40er_ETM90,4.506,0,0.000,0.000,0.000,0.000,0.000,2.119
L1_IsoTau40er_ETM95,3.634,0,0.000,0.000,0.000,0.000,0.000,2.101
L1_IsoTau40er_ETM100,2.955,1,2.955,0.289,0.295,0.092,0.716,2.085
L1_IsoTau40er_ETM105,2.380,1,2.380,0.260,0.000,0.000,0.302,2.047
L1_IsoTau40er_ETM110,1.945,1,1.945,0.235,0.000,0.000,0.159,2.018
L1_IsoTau40er_ETM115,1.758,1,1.758,0.223,0.000,0.000,0.137,2.000
L1_IsoTau40er_ETM120,1.521,1,1.521,0.208,0.000,0.000,0.116,1.988
L1_IsoTau40er_ETMHF80,5.488,0,0.000,0.000,0.000,0.000,0.000,2.451
L1_IsoTau40er_ETMHF90,3.336,0,0.000,0.000,0.000,0.000,0.000,2.402
L1_IsoTau40er_ETMHF100,2.381,1,2.381,0.260,0.193,0.074,0.404,2.270
L1_IsoTau40er_ETMHF110,1.449,1,1.449,0.203,0.000,0.000,0.102,2.130
L1_IsoTau40er_ETMHF120,1.211,1,1.211,0.185,0.000,0.000,0.074,2.035
L1_Mu22er2p1_IsoTau40er2p1,0.568,1,0.568,0.127,0.000,0.000,0.040,1.542
L1_QuadJet36er3p0_IsoTau52er2p1,13.983,190,0.000,0.000,0.000,0.000,0.000,4.180
L1_ETM80_Jet60_dPhi_Min0p4,33.756,0,0.000,0.000,0.000,0.000,0.000,4.023
L1_ETM90_Jet60_dPhi_Min0p4,16.166,0,0.000,0.000,0.000,0.000,0.000,3.802
L1_ETM100_Jet60_dPhi_Min0p4,8.150,0,0.000,0.000,0.000,0.000,0.000,3.464
L1_ETM110_Jet60_dPhi_Min0p4,3.841,0,0.000,0.000,0.000,0.000,0.000,2.945
L1_DoubleJet60er3p0_ETM70,12.806,0,0.000,0.000,0.000,0.000,0.000,3.962
L1_DoubleJet60er3p0_ETM80,6.121,0,0.000,0.000,0.000,0.000,0.000,3.788
L1_DoubleJet60er3p0_ETM90,3.442,0,0.000,0.000,0.000,0.000,0.000,3.679
L1_DoubleJet60er3p0_ETM100,1.968,1,1.968,0.236,0.197,0.075,0.634,3.470
L1_DoubleEG_LooseIso23_10,8.043,0,0.000,0.000,0.000,0.000,0.000,2.446
L1_DoubleEG_LooseIso24_10,7.365,0,0.000,0.000,0.000,0.000,0.000,2.474
L1_TripleEG_LooseIso20_10_5,8.423,0,0.000,0.000,0.000,0.000,0.000,3.230
L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,41.244,0,0.000,0.000,0.000,0.000,0.000,5.938
L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,23.320,0,0.000,0.000,0.000,0.000,0.000,5.141
