id,name,proposed name,2,1.8,1.6,1.4,1.2,1,0.75,0.5,0.25,xml,POG,PAG,comment
115,L1_SingleTau20,,0,0,0,0,0,0,0,0,0,x,TAU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-85
116,L1_SingleTau80er2p1,L1_SingleTau80er,0,0,0,1,1,1,1,1,1,x,TAU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
117,L1_SingleTau100er2p1,L1_SingleTau100er,0,0,0,1,1,1,1,1,1,x,TAU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
118,L1_SingleTau120er2p1,L1_SingleTau120er,1,1,1,1,1,1,1,1,1,x,TAU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
119,L1_SingleTau130er2p1,,1,1,1,1,1,1,1,1,1,x,TAU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-150
120,L1_SingleTau140er2p1,,1,1,1,1,1,1,1,1,1,x,TAU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-150
121,L1_DoubleTau50er2p1,L1_DoubleTau50er,0,0,0,1,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_Tau50er"
122,L1_DoubleTau70er2p1,L1_DoubleTau70er,1,1,1,1,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_Tau70er"
123,L1_DoubleIsoTau28er2p1,L1_DoubleIsoTau28er,0,0,0,0,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_IsoTau28er"
124,L1_DoubleIsoTau30er2p1,L1_DoubleIsoTau30er,0,0,0,1,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_IsoTau30er"
125,L1_DoubleIsoTau32er2p1,L1_DoubleIsoTau32er,0,1,1,1,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_IsoTau32er"
126,L1_DoubleIsoTau33er2p1,L1_DoubleIsoTau33er,0,1,1,1,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_IsoTau33er"
