seed,rate,error,chi2
L1_DoubleMu4_SQ_OS_dR_Max1p2,4.8,0.5,977.571
L1_DoubleMu5_SQ_OS_Mass7to18,1.8,0.2,420.528
L1_DoubleMu_20_2_SQ_Mass_Max20,0.9,0.1,343.192
L1_TripleMu_5_0_0_DoubleMu_5_0_OS_Mass_Max17,6.7,0.5,418.703
L1_DoubleMu4_OS_EG12,1.3,0.1,213.934
L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,3.7,0.3,354.396
L1_DoubleMu4p5_SQ_OS_dR_Max1p2,2.9,0.3,1153.19
L1_TripleMu_5_3_0_DoubleMu_5_3_OS_Mass_Max17,3.7,0.3,348.032
L1_DoubleMu5_OS_EG12,0.5,0.1,172.157
L1_DoubleMu6_SQ_OS,2.3,0.3,245.337
L1_Mu6_DoubleEG17,0.1,0.0,99.2084
L1_DoubleMu7_EG7,1.1,0.1,217.452
L1_Mu5_EG15,15.3,0.9,421.075
L1_Mu5_EG20,4.2,0.3,278.452
L1_Mu5_IsoEG18,1.1,0.1,168.127
L1_Mu12_EG10,6.0,0.4,379.451
L1_Mu20_EG10,1.8,0.2,361.814
L1_MU20_EG15,0.6,0.1,273.845
L1_Mu20_IsoEG6,0.3,0.1,88.8048
L1_Mu6_HTT200er,3.6,0.3,478.203
L1_Mu8_HTT150er,5.1,0.3,545.546
